(0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SELECT COUNT(*) AS `__count` FROM `mall_product` INNER JOIN `mall_product_classes` ON (`mall_product`.`id` = `mall_product_classes`.`product_id`) INNER JOIN `mall_classify` ON (`mall_product_classes`.`classify_id` = `mall_classify`.`id`) WHERE (`mall_product`.`status` = 11 AND `mall_product`.`is_valid` = 1 AND `mall_classify`.`code` = 'jszc'); args=(11, True, 'jszc')
(0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '2bic4xspcdygntlhdd3wbodnl4ywb892' AND `django_session`.`expire_date` > '2020-05-25 17:57:44.200329'); args=('2bic4xspcdygntlhdd3wbodnl4ywb892', '2020-05-25 17:57:44.200329')
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SELECT VERSION(); args=None
(0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '2bic4xspcdygntlhdd3wbodnl4ywb892' AND `django_session`.`expire_date` > '2020-05-25 17:57:53.668997'); args=('2bic4xspcdygntlhdd3wbodnl4ywb892', '2020-05-25 17:57:53.668997')
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SELECT VERSION(); args=None
(0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '2bic4xspcdygntlhdd3wbodnl4ywb892' AND `django_session`.`expire_date` > '2020-05-25 17:58:02.476482'); args=('2bic4xspcdygntlhdd3wbodnl4ywb892', '2020-05-25 17:58:02.476482')
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.001) SELECT VERSION(); args=None
(0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '2bic4xspcdygntlhdd3wbodnl4ywb892' AND `django_session`.`expire_date` > '2020-05-25 17:58:02.487421'); args=('2bic4xspcdygntlhdd3wbodnl4ywb892', '2020-05-25 17:58:02.487421')
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SELECT VERSION(); args=None
(0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '2bic4xspcdygntlhdd3wbodnl4ywb892' AND `django_session`.`expire_date` > '2020-05-25 17:58:02.515380'); args=('2bic4xspcdygntlhdd3wbodnl4ywb892', '2020-05-25 17:58:02.515380')
